what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1322052611248
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1322052611265
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1322052611273
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1322052611273
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1322052611273
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1322052611283
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1322052611291
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1322052611301
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1322052611302
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1322052611309
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1322052611315
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1322052611327
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1322052611336
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1322052611347
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1322052611359
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1322052611372
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1322052611378
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1322052611389
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1322052611403
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1322052611417
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1322052611420
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1322052611420
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1322052611424
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1322052611438
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1322052611438
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1322052611446
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1322052611472
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1322052611479
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1322052611489
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1322052611500
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1322052611514
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1322052611526
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1322052611539
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1322052611545
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1322052611545
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1322052611546
started,bundle,com.intland.mercurialmylyn,1.1.0.v201105181349,"com.intland.mercurialmylyn",1322052611546
started,bundle,com.vectrace.MercurialEclipse,1.9.0.v201110131552,"com.vectrace.MercurialEclipse",1322052611560
started,bundle,org.codebeamer.eclipse.mylyn.core,3.1.1.v201111102149,"org.codebeamer.eclipse.mylyn.core",1322052611566
started,bundle,org.codebeamer.eclipse.mylyn.ui,3.1.1.v201111102149,"org.codebeamer.eclipse.mylyn.ui",1322052611566
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.3.v20111026-0100,"org.eclipse.mylyn.tasks.ui",1322052611573
os,sysinfo,,,"linux",1322052611578
arch,sysinfo,,,"x86_64",1322052611578
ws,sysinfo,,,"gtk",1322052611578
locale,sysinfo,,,"pt_BR",1322052611578
processors,sysinfo,,,"2",1322052611578
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1322052611579
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1322052611579
java.specification.name,sysinfo,,,"Java Platform API Specification",1322052611579
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322052611579
java.specification.version,sysinfo,,,"1.6",1322052611579
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1322052611579
java.version,sysinfo,,,"1.6.0_23",1322052611579
java.vm.info,sysinfo,,,"mixed mode",1322052611579
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1322052611579
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322052611579
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322052611579
java.vm.specification.version,sysinfo,,,"1.0",1322052611579
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1322052611579
java.vm.version,sysinfo,,,"20.0-b11",1322052611579
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322052613514
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322052613526
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1322052613546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322052619434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1322052626135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322052626183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322052765802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1322055183762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055183803
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055183810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055187690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055192950
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322055195171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055195195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055213868
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1322055217425
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1322055217482
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1322055226847
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1322055226917
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1322055226942
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1322055227182
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1322055227225
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1322055227363
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1322055227489
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1322055227661
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1322055227689
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1322055227728
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1322055227756
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1322055227833
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1322055228067
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1322055228068
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1322055228141
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1322055234690
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1322055234716
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1322055234739
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322055234813
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1322055234986
opened,view,org.eclipse.mylyn.tasks.ui,3.6.3.v20111026-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1322055235953
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1322055236561
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1322055236588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055237013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055244797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1322055768243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055768268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055768275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055771036
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322055775333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055779316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055828521
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1322055835211
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1322055835229
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1322055836297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055837352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.customizePerspective",1322055839557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055839676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055842883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1322055902064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055902100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055902135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055904864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055905022
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322055906970
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1322055907970
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1322055907973
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1322055908019
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1322055908117
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1322055908166
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1322055908199
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1322055908210
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1322055908210
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1322055908218
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1322055908233
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1322055908255
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1322055908266
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1322055908279
